            y0    y0_sd     mu  mu_sd     K     K_sd   t2
 TRP 0.00219  0.00271  0.194 0.0497 0.333   0.0243 25.9
 ILE 0.00223  0.00085  0.376 0.0373 0.314  0.00448 13.1
 LEU 0.00212  0.00144   0.24  0.032 0.444   0.0312 22.2
 L-ALPHA-ALANINE 0.00228  0.00151  0.196 0.0282 0.197   0.0095 22.7
 HIS 0.00286  0.00053  0.334 0.0151 0.333  0.00293 14.2
 CYS 0.00212 0.000399   0.35 0.0146 0.322  0.00241 14.3
 PRO 0.00234 0.000241 0.0982 0.0101 0.013 0.000718 15.4
 MET 0.00214   0.0008  0.373 0.0344 0.308  0.00376 13.3
 SER 0.00243   0.0012  0.395  0.058 0.295  0.00443 12.1
 ASN 0.00221 0.000786  0.431 0.0456 0.305  0.00271 11.4
 LYS 0.00215 0.000557  0.385 0.0292 0.264  0.00252 12.5
MHHW 0.00239  0.00129  0.436 0.0706 0.299  0.00346 11.1
 THR 0.00188   0.0016  0.244 0.0401 0.426   0.0359 22.2
 PHE 0.00222 0.000562  0.303 0.0151 0.372  0.00483 16.9
 ARG  0.0023  0.00153    0.2 0.0282 0.219  0.00963 22.8
 TYR 0.00217 0.000452   0.31 0.0125 0.396   0.0039 16.8
 VAL 0.00214  0.00509 0.0869  0.105     1       20 70.7
 GLY   0.002 0.000482  0.376 0.0217  0.32   0.0028 13.5
L-ASPARTATE 0.00231 0.000818  0.446  0.047 0.297  0.00244 10.9
 GLT 0.00201  0.00201  0.236 0.0427 0.327   0.0162 21.6
